Customer_ID,Age,Gender,Membership_Type,Credit_Card_Open_Date,Credit_Card_Closed_Date,Credit_Card_Limit,Credit_Card_APR
31608,44,Male,Non-Prime,2024-05-16,,156000,34.27
45858,25,Male,Prime,2024-04-19,,209000,33.86
81963,34,Female,Prime,2023-06-03,,128000,33.89
47558,55,Male,Non-Prime,2021-11-04,,260000,30.88
64364,36,Male,Non-Prime,,,,
64287,35,Female,Prime,2024-10-13,,297000,28.76
95591,43,Male,Prime,2026-04-05,,254000,32.24
31396,52,Female,Prime,2024-09-03,,140000,33.8
86967,38,Male,Non-Prime,2023-07-25,2025-08-08,101000,34.3
69364,29,Female,Non-Prime,2026-04-18,,263000,30.02
79347,55,Female,Prime,2026-07-26,2026-07-27,241000,30.25
78102,25,Male,Prime,,,,
71229,37,Male,Non-Prime,,,,
57099,42,Male,Prime,2022-12-30,2025-11-05,115000,29.93
14891,50,Female,Prime,2023-02-19,,172000,31.37
69375,31,Female,Non-Prime,2021-12-01,,123000,34.5
21550,48,Female,Prime,,,,
50417,20,Male,Non-Prime,2025-03-15,2026-04-29,225000,28.37
58827,58,Male,Prime,2023-12-22,,166000,28.06
59583,21,Male,Non-Prime,2026-05-28,,113000,33.51
42289,56,Male,Non-Prime,,,,
35400,19,Male,Prime,2023-07-25,,165000,33.04
95847,19,Male,Prime,2023-11-24,2024-05-28,246000,29.1
49461,52,Male,Prime,2025-03-17,,228000,34.1
92748,36,Male,Non-Prime,2022-01-14,2022-08-26,277000,33.41
79555,45,Male,Prime,2021-09-28,,194000,34.24
91235,38,Male,Prime,2021-11-04,2023-04-27,124000,30.39
98437,45,Male,Prime,2022-03-28,2024-04-17,243000,29.93
41591,47,Male,Prime,2026-05-11,,252000,29.06
53384,45,Male,Prime,2023-10-16,2026-05-14,212000,34.51
14492,56,Male,Non-Prime,2023-04-30,,254000,29.24
45736,58,Male,Non-Prime,,,,
32767,33,Male,Prime,2024-03-30,,205000,29.35
83811,45,Male,Non-Prime,2023-07-21,,186000,33.4
91445,40,Male,Prime,,,,
82563,33,Male,Non-Prime,2022-02-09,,122000,33.68
14643,51,Male,Non-Prime,2025-02-08,,106000,31.94
20238,37,Male,Non-Prime,2022-04-17,,227000,34.96
56046,35,Male,Non-Prime,2022-12-19,,163000,28.48
27635,38,Male,Non-Prime,,,,
52601,38,Male,Non-Prime,2023-10-20,,282000,30.99
37607,55,Male,Non-Prime,2023-05-09,2025-02-11,150000,31.19
99821,31,Female,Prime,2025-08-05,,182000,28.89
99035,18,Male,Prime,2024-10-05,,251000,28.23
15641,44,Male,Prime,2024-08-24,,146000,30.22
55408,21,Female,Prime,2025-12-30,,115000,29.22
98365,50,Female,Non-Prime,2021-11-09,,158000,31.38
24085,53,Male,Non-Prime,2023-01-13,2025-02-07,132000,29.03
68711,57,Male,Non-Prime,2023-06-03,,286000,28.97
13233,24,Female,Non-Prime,,,,
20942,40,Male,Prime,,,,
12913,27,Female,Non-Prime,,,,
72746,22,Female,Prime,2024-12-29,,261000,32.76
73338,21,Female,Non-Prime,2025-03-21,2026-06-02,137000,33.4
40417,36,Male,Non-Prime,2021-11-04,,279000,33.85
23393,58,Male,Non-Prime,2021-11-23,,208000,32.61
76256,18,Male,Non-Prime,2023-02-08,2025-09-20,261000,30.31
63652,32,Female,Prime,2024-05-28,,279000,29.09
50279,20,Male,Prime,2024-05-13,,164000,29.66
39366,54,Male,Non-Prime,2026-01-11,2026-07-30,122000,33.88
64996,32,Male,Prime,2026-07-01,,146000,32.87
44938,58,Male,Non-Prime,2021-10-02,,185000,31.19
29794,24,Female,Prime,2022-08-27,2023-09-26,264000,28.21
42051,24,Female,Prime,,,,
62922,40,Male,Prime,2022-03-08,,101000,33.1
48984,54,Female,Non-Prime,2022-01-15,,202000,31.59
73476,41,Female,Prime,2026-06-08,,183000,31.05
66891,38,Male,Non-Prime,2021-10-14,,144000,30.2
61398,55,Male,Prime,2024-05-06,2026-01-06,124000,32.25
25463,19,Male,Prime,2024-02-07,,168000,34.76
38021,54,Male,Non-Prime,2023-10-23,,289000,34.31
72795,30,Male,Prime,2024-06-04,,165000,28.21
70969,36,Male,Prime,2024-07-27,,204000,31.37
84203,24,Male,Non-Prime,2024-03-06,,241000,30.31
43101,54,Male,Non-Prime,2023-04-24,,173000,31.57
96294,32,Male,Prime,,,,
38863,46,Male,Non-Prime,2022-08-28,2024-09-07,292000,29.4
58060,43,Male,Non-Prime,2023-03-10,,150000,33.47
36871,31,Female,Non-Prime,2025-11-01,,199000,31.33
86096,18,Male,Non-Prime,2023-07-19,,160000,34.94
94493,31,Male,Non-Prime,2023-09-22,,157000,28.18
81021,54,Female,Non-Prime,2025-08-13,,107000,29.33
95874,21,Female,Non-Prime,2023-04-16,,222000,32.83
60265,24,Male,Prime,,,,
45412,60,Female,Prime,2024-10-07,,110000,32.08
33313,42,Male,Prime,2025-12-22,,156000,34.8
11956,45,Male,Prime,2024-06-04,,282000,30.91
60793,49,Male,Prime,,,,
22725,51,Female,Prime,2025-08-12,,129000,34.37
21930,50,Male,Prime,,,,
26898,48,Male,Prime,2025-05-26,,297000,30.48
39459,59,Male,Prime,2023-11-12,,148000,33.03
57056,34,Female,Prime,,,,
79282,55,Male,Prime,2022-02-27,,252000,30.14
46830,37,Male,Non-Prime,2023-12-10,,148000,30.09
59053,39,Male,Non-Prime,2021-10-01,,246000,30.77
72930,56,Male,Non-Prime,2024-08-30,2025-11-18,174000,28.5
38046,30,Male,Non-Prime,2024-01-27,,226000,34.6
17726,57,Male,Prime,2022-04-12,2026-06-27,227000,29.28
66665,21,Male,Non-Prime,,,,
99469,32,Female,Non-Prime,,,,
11738,52,Male,Prime,2021-12-27,2023-10-25,267000,33.07
84513,18,Female,Non-Prime,,,,
70318,26,Female,Prime,,,,
64990,29,Male,Prime,2025-03-21,,108000,34.11
26269,22,Female,Prime,2024-10-21,,218000,31.81
50623,38,Female,Non-Prime,2025-08-26,,236000,31.07
53486,36,Male,Prime,,,,
44917,21,Male,Prime,2023-03-06,,202000,29.7
78090,28,Male,Prime,2022-04-11,2023-07-28,145000,34.02
61858,41,Female,Non-Prime,,,,
44144,31,Female,Prime,2025-01-18,2025-07-16,135000,34.3
94529,20,Male,Non-Prime,2022-10-02,,238000,29.41
58915,60,Male,Prime,2025-11-02,,177000,34.55
41091,33,Male,Prime,2024-05-25,2025-08-24,287000,32.82
18774,36,Male,Prime,2024-06-24,,128000,32.33
57722,29,Male,Prime,2024-11-23,2025-06-13,168000,30.95
77328,41,Female,Non-Prime,2026-06-10,,123000,34.69
23800,33,Male,Non-Prime,,,,
21796,41,Female,Prime,2023-04-17,,275000,31.49
49085,24,Female,Prime,2023-11-26,,152000,33.47
55324,34,Female,Prime,2025-01-02,2025-11-22,232000,29.99
89248,55,Male,Non-Prime,,,,
76902,32,Male,Prime,2026-06-19,2026-07-05,211000,33.43
25351,49,Female,Prime,2023-07-02,,206000,28.9
71469,18,Male,Non-Prime,2022-04-30,,148000,33.76
32657,56,Male,Non-Prime,,,,
81299,46,Male,Prime,2022-12-14,2023-11-23,279000,31.77
51683,28,Female,Non-Prime,2025-12-29,,280000,29.6
53616,37,Male,Prime,2023-04-14,,227000,33.5
33692,18,Female,Prime,,,,
38665,18,Male,Non-Prime,,,,
10347,29,Male,Prime,2026-07-31,2026-08-05,245000,30.72
53804,35,Female,Prime,,,,
52698,37,Female,Non-Prime,2025-02-25,2025-09-10,277000,33.28
75245,25,Male,Prime,,,,
73164,40,Male,Non-Prime,2022-09-02,2022-09-09,228000,29.45
80724,38,Male,Prime,2025-10-03,,117000,33.56
36779,44,Female,Prime,,,,
13242,39,Male,Prime,2022-05-20,,280000,28.41
27146,32,Male,Prime,2026-04-05,2026-06-25,221000,33.41
71482,39,Male,Prime,2023-03-16,,102000,33.97
65933,22,Female,Non-Prime,2025-05-17,,120000,34.94
51637,36,Male,Prime,2023-11-25,,233000,29.66
46284,31,Female,Prime,2023-05-29,,101000,30.6
27436,39,Male,Prime,2025-02-09,,132000,34.76
97141,55,Male,Non-Prime,,,,
39551,55,Female,Non-Prime,2022-09-14,,238000,31.67
68211,32,Male,Non-Prime,2021-12-12,,230000,31.55
22950,41,Female,Non-Prime,2024-12-03,,145000,32.25
99804,45,Male,Non-Prime,2023-12-19,,242000,30.32
54168,21,Male,Non-Prime,2023-07-30,,147000,34.48
71219,44,Male,Non-Prime,2022-02-18,,165000,29.89
63118,40,Male,Prime,2024-11-07,,249000,32.55
86093,52,Male,Prime,2023-12-28,,230000,31.47
25644,60,Female,Non-Prime,2025-08-24,,270000,29.87
18768,22,Male,Prime,2024-07-18,,232000,29.32
34585,32,Male,Prime,2024-09-28,2026-08-04,214000,34.7
12449,32,Male,Prime,2024-08-26,,119000,31.93
84091,38,Male,Non-Prime,2026-07-14,,174000,32.23
42480,36,Male,Prime,2026-04-14,,153000,33.48
47998,52,Male,Prime,2024-02-29,2026-04-27,149000,28.57
56286,39,Male,Non-Prime,2025-11-28,,295000,33
50714,23,Male,Prime,,,,
54719,30,Male,Non-Prime,2024-07-29,,278000,33.18
40405,42,Male,Non-Prime,2025-06-23,,226000,28.99
24956,51,Male,Prime,2023-11-30,,259000,33.83
92329,46,Male,Non-Prime,,,,
84892,51,Male,Prime,2021-11-22,,215000,30.7
24904,52,Male,Non-Prime,2026-04-27,,199000,30.51
59361,51,Male,Prime,2022-12-17,,139000,29.04
74431,49,Female,Prime,2022-06-05,,244000,34.33
66970,49,Female,Prime,2023-12-27,2026-05-13,156000,28.83
93783,56,Male,Non-Prime,2022-06-28,,105000,31.3
66237,33,Male,Non-Prime,2024-09-06,,229000,29.66
70828,45,Female,Non-Prime,2025-01-15,,135000,34.97
73663,43,Male,Non-Prime,2025-03-06,,288000,32.1
33011,45,Male,Non-Prime,2023-09-23,,291000,29.05
28775,37,Male,Prime,2024-09-27,2025-06-14,283000,32.67
95167,55,Male,Non-Prime,2026-01-22,,174000,34.94
55007,45,Female,Prime,2026-03-28,,103000,32.24
78389,56,Male,Non-Prime,2024-10-11,2026-02-01,286000,31.2
26774,37,Male,Non-Prime,2026-07-08,,186000,30.05
34735,49,Female,Non-Prime,2021-12-23,,293000,28.64
34135,50,Female,Non-Prime,2021-10-28,2024-12-09,293000,29.6
17652,33,Male,Prime,2023-07-07,,271000,31.88
81554,53,Female,Prime,2022-07-12,,159000,33.28
79727,38,Female,Non-Prime,2026-02-13,,177000,34.15
26253,54,Male,Prime,2022-10-31,,270000,33.56
88629,21,Female,Prime,2026-04-20,,163000,28.88
61793,43,Male,Prime,2023-08-28,2023-09-01,134000,33.41
46893,48,Female,Prime,2025-11-09,,211000,32.07
67339,51,Male,Prime,2025-12-23,,287000,31.28
94344,58,Male,Non-Prime,,,,
45387,51,Male,Prime,2024-03-22,,214000,28.06
54603,26,Female,Prime,2026-07-16,,119000,28.47
62257,47,Male,Non-Prime,2026-01-02,,223000,31.68
32919,34,Female,Prime,2023-09-04,,298000,29.22
99190,43,Male,Non-Prime,,,,
68181,33,Female,Prime,2024-11-24,,204000,30.48
16423,49,Male,Prime,2022-08-25,,275000,34.35
65212,36,Male,Prime,,,,
50947,56,Male,Non-Prime,2024-04-12,,239000,34.86
87541,42,Male,Prime,2022-03-23,2024-11-10,240000,34.29
86061,50,Male,Non-Prime,2022-10-19,2023-10-31,172000,34.9
74884,53,Male,Non-Prime,2024-04-12,2026-06-04,159000,32.94
20213,49,Male,Non-Prime,2021-09-20,2024-05-21,262000,34.72
31907,29,Male,Prime,2025-08-22,,262000,32.49
25990,31,Female,Prime,2023-05-27,2024-08-27,273000,33.66
27713,45,Female,Prime,2026-05-19,,283000,28.92
92626,42,Male,Prime,2022-04-27,,202000,32.78
88834,34,Male,Non-Prime,2021-11-27,2022-02-27,200000,34.52
43652,39,Male,Prime,2026-04-05,,260000,31.78
12946,40,Male,Prime,,,,
68428,45,Male,Non-Prime,2021-11-01,2022-02-28,240000,31.69
42056,43,Male,Prime,2022-08-06,2022-09-16,259000,32.95
16009,34,Female,Prime,2024-02-21,2024-08-25,278000,33.39
28600,46,Male,Non-Prime,,,,
61783,38,Male,Prime,2024-02-23,,175000,29.52
51797,39,Male,Non-Prime,2025-11-18,2026-01-10,119000,34.49
61122,34,Male,Prime,2022-11-12,,216000,33.42
44430,34,Male,Non-Prime,2026-04-21,,107000,29.89
14413,20,Male,Prime,2025-04-04,,193000,33.68
37123,51,Male,Non-Prime,2023-03-02,2024-12-18,209000,30.44
39389,28,Male,Prime,,,,
68879,56,Male,Prime,2024-02-09,,218000,34.04
46402,47,Male,Prime,2025-04-08,,106000,34.11
74697,60,Male,Prime,2022-12-12,,107000,30.79
61446,22,Female,Non-Prime,2023-01-07,,265000,28.06
48375,60,Female,Non-Prime,,,,
37819,41,Female,Prime,2025-08-09,,125000,34.37
13580,40,Male,Prime,,,,
47882,43,Male,Non-Prime,2023-10-28,,254000,31.17
94265,18,Male,Non-Prime,2024-11-27,2026-03-02,143000,30.13
40223,34,Female,Prime,2021-10-07,2024-12-04,225000,30.12
20930,48,Female,Non-Prime,2023-12-11,2024-08-01,117000,34.28
28365,35,Male,Non-Prime,2026-05-03,,110000,30.27
96026,39,Male,Prime,2025-09-13,,206000,31.58
12320,31,Female,Prime,2025-11-30,,208000,33.12
62242,46,Male,Non-Prime,2022-10-25,,227000,29.47
36031,33,Male,Prime,2022-03-12,2025-05-16,245000,29.78
62439,46,Male,Non-Prime,2025-02-10,,295000,30.51
48804,36,Female,Prime,2025-12-07,,203000,32.58
36985,42,Male,Prime,2025-05-27,,165000,33.72
50032,39,Male,Prime,2022-07-16,,259000,31.83
49296,54,Male,Prime,2023-12-25,2025-11-01,154000,28.93
47934,51,Male,Non-Prime,2026-08-02,,188000,31.12
82299,57,Female,Non-Prime,,,,
19830,23,Male,Non-Prime,2023-08-25,2024-08-27,105000,28.62
13319,38,Male,Prime,,,,
66934,56,Male,Prime,2022-01-16,,267000,34.69
84089,33,Male,Prime,2025-05-15,,239000,33.86
10980,34,Male,Non-Prime,,,,
77578,30,Male,Non-Prime,2021-09-29,,135000,33.09
71805,47,Male,Non-Prime,2026-02-25,,131000,34.28
75407,26,Male,Non-Prime,2021-12-29,2023-11-28,150000,33.27
75482,42,Male,Prime,,,,
55418,25,Male,Prime,2024-08-14,,243000,30.55
35713,39,Male,Prime,2025-06-21,,232000,28.71
13803,41,Female,Prime,2024-06-20,,156000,31.23
37998,55,Male,Prime,2022-04-13,,291000,34.47
51535,59,Male,Non-Prime,2025-07-13,,248000,32.08
40065,40,Male,Prime,2021-10-05,,211000,29.29
89974,26,Male,Prime,2023-06-23,,222000,32.54
48858,44,Male,Prime,2022-10-23,,184000,31.26
58833,49,Male,Prime,2024-12-09,,150000,34.52
84184,31,Female,Non-Prime,2024-01-02,,171000,29.13
41029,43,Male,Non-Prime,,,,
22396,30,Male,Prime,2024-06-02,2026-03-07,103000,32.77
65865,41,Female,Prime,,,,
94634,18,Male,Prime,2026-01-19,,109000,31.95
86582,47,Male,Non-Prime,2025-04-17,,108000,34.1
73045,37,Male,Non-Prime,2021-12-13,,271000,28.17
52210,50,Male,Prime,2025-12-28,,241000,28.86
77570,36,Male,Prime,2025-11-12,,195000,30.42
26424,50,Male,Prime,2023-07-06,,120000,32.34
27575,30,Male,Non-Prime,2026-02-15,,198000,31.14
97509,58,Male,Prime,2021-09-28,,195000,29.42
97049,52,Male,Non-Prime,2024-10-24,,135000,32.12
45077,18,Male,Prime,2023-08-09,,187000,31.97
80869,33,Male,Prime,2026-02-01,,180000,31.67
57613,24,Female,Prime,2022-07-06,,223000,28.63
74267,42,Male,Non-Prime,2021-10-23,,227000,34.49
63628,25,Male,Non-Prime,2022-12-01,2023-01-19,109000,32.15
52792,22,Female,Prime,2022-12-04,,175000,29.85
43753,45,Female,Prime,2024-02-23,,225000,32.81
30985,48,Female,Prime,2023-07-31,,201000,30.23
68993,34,Female,Non-Prime,2021-12-27,2024-08-13,271000,31.54
14881,37,Male,Non-Prime,2021-11-27,,232000,30.39
42011,26,Male,Non-Prime,2025-04-17,,133000,34.16
24041,43,Male,Prime,2023-03-20,,114000,34.96
99092,32,Male,Non-Prime,2025-08-26,,228000,29.13
78903,26,Male,Prime,2025-03-05,,105000,28.17
25697,20,Male,Prime,2023-03-14,,217000,29.54
15047,37,Male,Prime,2022-03-27,,288000,32.13
25969,35,Female,Prime,2023-04-19,,215000,29.22
67898,58,Male,Non-Prime,2022-01-30,,178000,33.68
19666,47,Male,Prime,2025-07-08,,229000,30.86
52052,56,Female,Prime,2021-10-13,2023-06-29,192000,32.27
24726,43,Male,Non-Prime,2023-05-05,,209000,31.19
31583,37,Male,Non-Prime,,,,
80322,22,Male,Prime,2025-11-05,,177000,28.25
49987,23,Male,Prime,,,,
32271,30,Female,Non-Prime,2026-08-04,,281000,32.57
39133,32,Male,Prime,2023-12-08,,139000,32.55
32811,47,Male,Prime,2022-08-22,,114000,30.9
89828,34,Female,Prime,2023-07-12,,120000,28.11
73611,57,Female,Prime,2024-12-09,2026-06-30,104000,32.82
88646,48,Female,Prime,2024-01-06,,119000,33.81
83430,26,Male,Non-Prime,2021-10-28,2024-04-19,237000,28.6
72310,52,Male,Non-Prime,2023-03-02,,114000,31.09
62407,40,Male,Non-Prime,2023-06-21,2023-11-16,164000,29.14
13094,26,Male,Non-Prime,,,,
50871,39,Male,Non-Prime,,,,
22621,55,Male,Non-Prime,2025-10-29,2026-03-15,263000,32.67
40520,31,Female,Non-Prime,2023-02-19,,156000,30.23
23804,42,Male,Prime,2024-10-29,2025-11-10,124000,28.98
42644,44,Male,Prime,2022-09-03,,239000,33.56
49156,50,Female,Non-Prime,2023-07-20,,226000,30.27
48476,59,Male,Prime,2025-02-27,,275000,28.15
61124,44,Male,Non-Prime,2025-11-09,2026-02-18,247000,32
66602,57,Male,Non-Prime,,,,
33969,19,Male,Prime,2024-08-28,,156000,33.89
53072,32,Male,Non-Prime,2025-03-14,,135000,29
38169,36,Male,Prime,2024-06-02,,250000,31.04
81717,27,Male,Non-Prime,2024-05-08,,261000,29.77
76131,56,Male,Prime,2023-04-14,,298000,32.83
72816,52,Male,Non-Prime,,,,
65017,60,Male,Prime,,,,
27282,38,Male,Non-Prime,2023-02-21,2024-02-25,255000,31.21
32536,60,Male,Prime,2021-12-16,,168000,28.03
67657,58,Male,Non-Prime,2025-12-28,,286000,29.51
12188,44,Male,Prime,2023-06-18,,272000,34.99
88167,29,Male,Non-Prime,2022-05-05,,186000,30.84
93546,23,Male,Prime,2023-07-15,,250000,32.34
19273,18,Male,Non-Prime,2021-12-24,,251000,34.33
83673,20,Male,Non-Prime,2026-08-01,,121000,28.14
76885,19,Female,Prime,2023-03-08,,281000,32.62
62210,25,Male,Prime,2025-11-02,,201000,30.02
24660,20,Male,Prime,2025-02-24,,265000,29.95
20955,43,Male,Non-Prime,,,,
88191,27,Male,Non-Prime,2023-08-08,,279000,33.76
34387,37,Male,Non-Prime,2023-06-23,2026-03-26,178000,30.61
85585,29,Male,Non-Prime,2026-01-24,,102000,28.47
53912,54,Male,Prime,2024-04-19,,281000,28.68
70779,44,Female,Non-Prime,2024-07-24,2025-04-25,118000,29.04
19120,34,Female,Non-Prime,2024-04-04,,164000,34.29
43838,45,Male,Non-Prime,2023-05-05,2023-07-08,290000,30.99
48730,51,Female,Prime,2021-10-18,,290000,34.41
49439,34,Female,Prime,2025-02-25,2026-01-07,215000,33.72
29313,35,Female,Prime,,,,
33325,33,Male,Prime,2024-12-27,,190000,30.01
98957,39,Male,Prime,,,,
91394,31,Female,Prime,2025-12-19,,166000,31.92
82823,18,Male,Prime,2024-07-19,,235000,30.93
58986,27,Female,Non-Prime,2022-10-04,,250000,31.56
28864,45,Male,Non-Prime,2024-09-24,,258000,28.37
80613,43,Male,Prime,2026-03-19,,258000,34.8
27268,32,Male,Non-Prime,2023-11-17,,118000,28.41
58218,23,Male,Non-Prime,2022-03-06,,199000,29.25
46883,44,Male,Prime,2024-08-24,,112000,32.75
28702,50,Male,Prime,2025-01-15,,210000,29.09
67957,19,Male,Prime,2024-07-06,,188000,28.75
44923,35,Male,Prime,2025-10-21,,278000,29.08
73916,41,Female,Non-Prime,2022-10-23,,170000,28.43
53340,22,Male,Prime,2022-11-19,,123000,29.76
32758,58,Male,Non-Prime,2025-07-21,,129000,29.9
79587,60,Female,Prime,2021-11-05,,252000,31.49
83987,32,Male,Prime,,,,
67044,29,Male,Prime,2023-10-10,,120000,31.32
58612,53,Male,Prime,2021-09-11,,117000,32.31
27605,29,Male,Non-Prime,,,,
68381,47,Male,Non-Prime,2026-05-18,,115000,28.94
26446,27,Female,Prime,2026-03-25,,264000,34.15
80903,39,Male,Prime,2023-07-02,2026-04-28,241000,32.44
48900,31,Male,Non-Prime,2022-12-29,2023-12-19,116000,28.42
18557,54,Male,Prime,2021-10-28,,117000,34.73
77196,30,Male,Non-Prime,2024-04-16,,297000,32.85
53914,32,Male,Prime,2025-01-22,,175000,29.06
13270,33,Female,Non-Prime,2026-01-21,,174000,34.78
77859,42,Female,Prime,2023-01-21,,263000,30.56
44788,30,Male,Non-Prime,2026-07-12,2026-07-26,289000,34.89
75899,31,Female,Prime,,,,
66568,45,Female,Prime,2023-09-20,,251000,29.12
90315,33,Male,Prime,2023-06-09,,175000,32.6
69359,25,Male,Non-Prime,2022-04-11,,117000,28.16
67931,40,Male,Prime,2023-10-17,2024-09-28,255000,28.13
47130,27,Male,Non-Prime,2021-11-01,,212000,33.54
61909,33,Male,Prime,2024-06-09,,185000,29.17
47587,23,Male,Prime,2025-09-08,,281000,34.43
77210,50,Male,Non-Prime,2023-03-11,,122000,30.98
73306,58,Male,Non-Prime,2024-10-15,,199000,34.12
59587,42,Male,Non-Prime,2022-10-09,,102000,30.92
12212,33,Male,Prime,2023-05-30,,194000,31.71
62863,30,Female,Non-Prime,2025-11-03,,111000,30.22
14293,18,Male,Prime,2022-05-20,,124000,32.61
82658,35,Female,Prime,2023-08-24,2025-06-22,124000,30.23
17751,54,Male,Prime,2025-09-19,,230000,29.56
33388,40,Male,Prime,2025-05-08,,249000,28.57
81556,42,Male,Prime,2025-01-23,2025-12-31,217000,28.4
78087,48,Female,Prime,,,,
67390,44,Male,Non-Prime,2024-11-11,2026-07-28,175000,33.16
89769,39,Male,Non-Prime,2022-11-01,,157000,29.44
84546,20,Female,Prime,,,,
33127,48,Male,Non-Prime,2025-02-17,,145000,34.34
45528,42,Male,Prime,2022-05-23,,293000,32.47
43812,31,Female,Prime,2024-07-11,,102000,34.44
53198,31,Male,Prime,2025-10-22,2025-11-13,294000,34.38
21668,44,Male,Prime,2024-07-01,2025-06-15,109000,28.44
21407,45,Male,Prime,2023-11-25,2024-12-17,278000,34.69
47731,47,Male,Non-Prime,2025-06-26,,206000,28.36
86316,24,Female,Prime,,,,
27415,52,Female,Non-Prime,2025-10-08,,115000,31.83
79152,33,Male,Non-Prime,,,,
70651,31,Male,Prime,2023-05-13,2024-02-28,294000,32.99
97885,38,Male,Non-Prime,2025-03-22,,205000,34.15
14731,48,Female,Prime,2024-11-09,,226000,32.32
75945,19,Male,Prime,2023-03-22,,239000,30.98
21791,34,Female,Non-Prime,,,,
56747,54,Male,Prime,2022-08-14,2024-06-07,226000,33.52
37790,18,Male,Prime,2024-05-29,,217000,28.9
87159,50,Male,Prime,2025-01-20,,280000,33.08
74138,39,Male,Non-Prime,2025-01-25,,109000,31.7
81119,31,Male,Prime,2023-09-03,,156000,30.7
54567,38,Male,Prime,2026-01-16,,290000,32.29
99620,50,Female,Non-Prime,,,,
36565,24,Female,Prime,2025-04-15,,191000,34.59
80877,36,Male,Prime,,,,
13016,41,Female,Prime,2023-02-14,,155000,34.63
75995,55,Male,Prime,2023-11-24,,138000,34.73
63350,49,Female,Non-Prime,2024-04-09,,193000,33.7
97948,34,Female,Prime,,,,
85014,28,Male,Prime,2026-05-20,,217000,32.85
33680,33,Male,Prime,2024-10-16,,116000,28.27
37367,36,Male,Prime,2021-09-22,,295000,32.03
15473,31,Female,Non-Prime,2024-03-05,,297000,33.23
